time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-04-17T05:46:46.860Z,45.909,15.409,10,2.7,ml,,,,1.16,us,usp0009rdt,2014-11-07T01:09:54.454Z,"5 km WSW of Leskovec pri Krškem, Slovenia",earthquake,,,,,reviewed,us,vie
2000-04-17T09:53:20.350Z,45.913,15.419,10,2.8,ml,,,,0.72,us,usp0009re0,2014-11-07T01:09:54.469Z,"4 km WSW of Leskovec pri Krškem, Slovenia",earthquake,,,,,reviewed,us,vie
2000-04-19T01:57:29.450Z,44.818,17.591,10,3.4,ml,,,,0.61,us,usp0009rh2,2014-11-07T01:09:54.919Z,"8 km SW of Prnjavor, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,zag
2000-04-26T21:14:43.310Z,46.251,13.847,10,2.6,ml,,,,0.98,us,usp0009rxd,2014-11-07T01:09:57.197Z,"8 km WSW of Bohinjska Bistrica, Slovenia",earthquake,,,,,reviewed,us,vie
2000-04-26T21:45:05.940Z,43.626,19.413,10,2.6,ml,,,,0.8,us,usp0009rxf,2014-11-07T01:09:57.201Z,"3 km ENE of Rudo, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,sko
2000-04-26T22:25:09.170Z,43.552,19.386,10,3.7,mb,,,,1.35,us,usp0009rxj,2014-11-07T01:09:57.208Z,"7 km SSE of Rudo, Bosnia and Herzegovina",earthquake,,,,1,reviewed,us,us
2000-05-01T00:25:06.520Z,44.802,17.403,10,4,ml,,,,1.13,us,usp0009s54,2014-11-07T01:09:59.574Z,"10 km NE of ?elinac, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,zag
2000-05-03T01:46:24.370Z,45.835,14.759,10,2.7,ml,,,,0.71,us,usp0009s8x,2014-11-07T01:10:02.206Z,"5 km ESE of Videm, Slovenia",earthquake,,,,,reviewed,us,vie
2000-05-03T04:49:05.000Z,46.222,16.478,10,2.7,ml,,,,0.63,us,usp0009s93,2014-11-07T01:10:02.305Z,"4 km S of Jalžabet, Croatia",earthquake,,,,,reviewed,us,vie
2000-05-05T04:42:17.100Z,46.019,14.799,10,2.5,ml,,,,1,us,usp0009se2,2014-11-07T01:10:04.031Z,"4 km SW of Šmartno pri Litiji, Slovenia",earthquake,,,,,reviewed,us,vie
2000-05-11T17:08:05.310Z,46.265,13.63,10,2.6,ml,,,,1.1,us,usp0009ssz,2014-11-07T01:10:07.222Z,"4 km ENE of Kobarid, Slovenia",earthquake,,,,,reviewed,us,vie
2000-05-20T03:36:00.630Z,46.029,14.794,10,3.1,ml,,,,0.89,us,usp0009t75,2014-11-07T01:10:10.417Z,"3 km SW of Litija, Slovenia",earthquake,,,,,reviewed,us,vie
2000-05-28T00:03:36.220Z,45.246,14.517,5,2.7,ml,,,,0.56,us,usp0009tjg,2014-11-07T01:10:12.051Z,"4 km NW of Omišalj, Croatia",earthquake,,,,,reviewed,us,vie
2000-06-11T21:55:07.100Z,43.896,18.582,10,3.7,ml,19,,,0.99,us,usp0009ueg,2014-11-07T01:10:21.862Z,"8 km N of Pale, Bosnia and Herzegovina",earthquake,,,,,reviewed,us,zag
2000-06-14T10:14:07.600Z,46.033,14.781,10,2.7,ml,10,,,0.74,us,usp0009ujb,2014-11-07T01:10:22.360Z,"4 km SW of Litija, Slovenia",earthquake,,,,,reviewed,us,vie
2000-06-16T02:34:58.360Z,45.921,15.941,10,4.2,ml,37,,,1.02,us,usp0009upb,2014-11-07T01:10:22.877Z,"3 km E of Gornja Bistra, Croatia",earthquake,,,,,reviewed,us,str
2000-06-16T03:33:22.040Z,42.568,16.831,10,4.4,ml,46,,,1.16,us,usp0009upc,2014-11-07T01:10:22.884Z,"22 km SSW of Lastovo, Croatia",earthquake,,,,,reviewed,us,zag
